,id,listing,district,area,address,xiaoqu,sqm,room,lvgroom,year,renovation,floor,direction,price,lat,lng,postal,station_1,station_2,dist_1,dist_2
4091,shypz000026988,"和平花苑(2期),客厅带阳台,一梯三户,繁华地段,得房率高",杨浦,鞍山,大连路1288弄,和平花苑(2期),134,4,2.0,2005.0,2.0,middle,NS,13000,31.2710516,121.5060336,200085.0,德平路,民生路,1300.0,1600.0
4092,shypz000027080,"汇元坊,主卧朝南,独立电梯,小区中心位置,简约风格",杨浦,黄兴,国顺东路900弄,汇元坊,98,2,2.0,2001.0,3.0,high,S,8000,31.293299,121.523371,200433.0,中山公园站,延安西路,800.0,2100.0
4093,shypz000025808,"兰馨雅苑,南北通透,一梯两户,繁华地段,得房率高",杨浦,黄兴,营口路866弄,兰馨雅苑,105,2,2.0,2003.0,3.0,middle,NS,8500,31.302084000000004,121.534738,200433.0,鲁班路,大木桥路,700.0,1300.0
4094,shypz000025871,"鼎隆公寓,主卧朝南,一梯两户,小区入口附近,得房率高",杨浦,东外滩,宁武路218弄,鼎隆公寓,97,2,2.0,2009.0,3.0,middle,NS,7500,31.26771500000001,121.545466,201203.0,伊犁路,水城路,1300.0,2200.0
4095,shypz000026018,"保利香槟苑(怀德路383弄),主卧朝南,近商圈,中式风格,卫生间全明",杨浦,东外滩,怀德路383弄,保利香槟苑(怀德路383弄),85,2,2.0,2008.0,3.0,low,SW,7500,31.255805,121.526421,200085.0,大世界,黄陂南路,700.0,1000.0
4096,shypz000026049,"铁岭路50弄,主卧朝南,小区入口附近,得房率高,配套成熟",杨浦,鞍山,铁岭路50弄,铁岭路50弄,86,3,2.0,1994.0,2.0,high,S,7500,31.27873300000001,121.514063,200085.0,耀华路,杨思,900.0,1900.0
4097,shypz000026097,"市谊大厦,两房朝南,一梯两户,不靠近马路,厨卫朝北",杨浦,五角场,国权路85弄,市谊大厦,76,2,1.0,1998.0,3.0,low,S,6500,31.287976,121.517247,200433.0,唐镇,广兰路,1500.0,3900.0
4098,shypz000026221,"银龙新村,主卧朝南,房型正气,现代风格,卫生间全明",杨浦,东外滩,龙江路300弄,银龙新村,34,1,1.0,1989.0,2.0,high,S,3500,31.256793,121.5305,200085.0,源深体育中心,世纪大道,1200.0,1300.0
4099,shzbz000013128,"上工新村(共和新路1895弄),小户型,繁华地段,拎包入住,现代风格",闸北,大宁绿地,共和新路1895弄,上工新村(共和新路1895弄),41,1,1.0,1987.0,3.0,middle,S,4000,31.273861,121.454321,200085.0,杨高北路,巨峰路,600.0,1300.0
4100,shypz000026514,"长阳新苑,主卧朝南,一梯两户,繁华地段,拎包入住",杨浦,东外滩,长阳路1318弄,长阳新苑,98,2,2.0,1998.0,2.0,high,S,6500,31.266755,121.5285379,200085.0,云山路,德平路,1300.0,2200.0
4101,shypz000026522,"三湘未来海岸(国霞路399弄),主卧朝南,新式里弄,靠近地铁口,采光充足",杨浦,新江湾,国霞路399弄,三湘未来海岸(国霞路399弄),46,1,1.0,2013.0,2.0,middle,W,6000,31.3163615,121.5050158,,佘山,洞泾,5200.0,17000.0
4102,shypz000026546,"大运盛,南北通透,一梯两户,靠近地铁口,采光充足",杨浦,控江,中山北二路99弄,大运盛,90,2,2.0,2006.0,3.0,middle,NS,7500,31.285305,121.5214,,伊犁路,宋园路,100.0,800.0
4103,shypz000026634,"凤六新苑,一梯两户,繁华地段,采光充足,近商圈",杨浦,控江,中山北二路345弄,凤六新苑,100,2,2.0,2001.0,2.0,high,NS,8000,31.284404,121.516408,,云山路,德平路,1300.0,2200.0
4104,shypz000026650,"三湘未来海岸(国霞路399弄),大开间,大平层,繁华地段,带露台",杨浦,新江湾,国霞路399弄,三湘未来海岸(国霞路399弄),63,1,1.0,2013.0,3.0,low,S,6500,31.3163615,121.5050158,,德平路,云山路,1700.0,1900.0
4105,shypz000026651,"引翔港小区,主卧朝南,小区中心位置,采光充足,中式风格",杨浦,控江,长阳路1969弄,引翔港小区,31,1,0.0,1987.0,3.0,high,S,4000,31.27169719999999,121.5393785,201203.0,江苏路,上海图书馆,700.0,1900.0
4106,shypz000026695,"广杭苑(眉州路135弄),主卧朝南,大平层,拎包入住,南北通透",杨浦,东外滩,眉州路135弄,广杭苑(眉州路135弄),87,2,2.0,1996.0,3.0,high,S,7000,31.2586126,121.537258,,鲁班路,大木桥路,800.0,1500.0
4107,shjsz000002487,"石化梅州新村,主卧朝南,非底楼房,采光充足,非顶楼房",金山,金山,梅州新村,石化梅州新村,52,2,1.0,1989.0,3.0,high,S,1900,30.71861,121.345626,200540.0,虹桥路,宋园路,1100.0,1700.0
4108,shbsz000024752,"呼玛二村,主卧朝南,一梯三户,小区入口附近,卫生间全明",宝山,共康,呼玛二村,呼玛二村,53,2,1.0,1992.0,3.0,high,S,4000,31.339972,121.446009,,小南门,南浦大桥,800.0,1800.0
4110,shbsz000025339,"高境一村,全南户型,一梯三户,小区入口附近,房型正气",宝山,高境,高境一村,高境一村,135,2,2.0,1995.0,1.0,low,S,6500,31.320575,121.478283,,小南门,南浦大桥,800.0,1800.0
4111,shjsz000002786,"古城新苑,主卧朝南,一梯三户,靠近花园,房型正气",金山,金山,龙皓路1738弄,古城新苑,62,2,1.0,2016.0,3.0,high,S,2800,30.7497047,121.3244942,,杨高北路,五莲路站,1300.0,2200.0
4112,shbsz000025419,"水岸蓝桥,主卧朝南,独立电梯,小区中心位置,带露台",宝山,大华,真华路999弄,水岸蓝桥,126,3,2.0,2004.0,2.0,low,S,10500,31.276182,121.40953600000002,,广兰路,金科路,4200.0,4900.0
4113,shjsz000002872,"石化海棠新村,主卧朝南,一梯两户,小区中心位置,带家具家电",金山,金山,海棠新村,石化海棠新村,59,2,1.0,1990.0,2.0,high,S,1200,30.71881399999999,121.348729,200540.0,水城路,北新泾,1100.0,1700.0
4115,shjsz000002894,"蓝色收获(板桥东路888弄),主卧朝南,黄金楼层,中式风格,拎包入住",金山,金山,板桥东路888弄,蓝色收获(板桥东路888弄),90,2,2.0,2009.0,3.0,high,NS,2500,30.73938,121.359508,,大连路,临平路,200.0,1200.0
4116,shsjz000009436,"英伦风尚,双阳台,一梯两户,靠近地铁口,拎包入住",松江,北九亭,涞坊路1033弄,英伦风尚,90,2,2.0,2007.0,3.0,middle,NS,5000,31.148617,121.304371,,东宝兴路,西藏北路,1900.0,2200.0
4119,shbsz000024972,"梧桐城邦(真华路1800弄),主卧朝南,带采光天井,位置安静,房型正气",宝山,大华,真华路1800弄,梧桐城邦(真华路1800弄),118,3,2.0,2006.0,3.0,middle,NS,8000,31.28952,121.412057,,洲海路,五洲大道,3200.0,4600.0
4120,shsjz000009113,"三湘青年e+(泗宝路86号/88号),主卧朝南,loft户型,小区中心位置,拎包入住",松江,泗泾,泗宝路,三湘青年e+(泗宝路86号/88号),46,2,2.0,2011.0,3.0,middle,S,4000,31.1161968,121.2584744,,杨高中路,花木路,2500.0,2600.0
4123,shbsz000025183,"康泰新城(真金路1039弄),主卧朝南,一梯两户,小区中心位置,中式风格",宝山,大华,真金路1039弄,康泰新城(真金路1039弄),109,2,2.0,2002.0,3.0,low,S,5500,31.285003000000003,121.404401,,中山公园站,延安西路,400.0,2600.0
4124,shjsz000002732,"蓝色收获(龙宇路999弄),主卧朝南,一梯三户,位置安静,得房率高",金山,金山,龙宇路999弄,蓝色收获(龙宇路999弄),66,2,1.0,2008.0,2.0,middle,S,2300,30.742864,121.357533,,嘉善路,鲁班路,1100.0,1400.0
4125,shbsz000025260,"金地艺境(市台路555弄),主卧朝南,大平层,小区中心位置,得房率高",宝山,上大,市台路555弄,金地艺境(市台路555弄),95,4,3.0,2012.0,3.0,high,S,6500,31.318533,121.351099,,金桥路,云山路,500.0,1800.0
4126,shxvz000019426,"华龙新苑(云锦路50弄),两房朝南,一梯两户,靠近地铁口,房型正气",徐汇,徐汇滨江,云锦路50弄,华龙新苑(云锦路50弄),66,2,1.0,1995.0,2.0,high,S,5300,31.17436799999999,121.456068,,中山公园站,延安西路,300.0,2800.0
4127,shxvz000019430,"嘉善路169弄,主卧朝南,位置安静,拎包入住,客厅朝南",徐汇,淮海南,嘉善路169弄,嘉善路169弄,68,2,1.0,1979.0,3.0,high,S,12666,31.208797,121.459867,,江湾镇,大柏树,300.0,3200.0
4128,shxvz000019450,"鸿艺豪苑,客厅带阳台,繁华地段,景观房,靠近地铁口",徐汇,淮海南,淮海中路1500弄,鸿艺豪苑,118,2,2.0,2000.0,2.0,middle,E,20000,31.209233,121.445927,,西藏南路,南浦大桥,1500.0,1600.0
4129,shxvz000019486,"虹桥丽园,大平层,靠近地铁口,采光充足,位置安静",徐汇,徐家汇,虹桥路591弄,虹桥丽园,118,3,2.0,2000.0,3.0,middle,E,12500,31.194325,121.428603,,徐泾东,徐泾东,5600.0,5600.0
4130,shxvz000019515,"兴国路157号,小户型,一梯三户,繁华地段,采光充足",徐汇,淮海南,兴国路157号,兴国路157号,48,2,1.0,1979.0,4.0,high,S,13000,31.20715310000001,121.4366663,200085.0,芳华路,御桥,2600.0,2700.0
4131,shxvz000019568,"锦汇苑,客厅朝南,小区中心位置,采光充足,两房朝南",徐汇,万体馆,文定路81弄,锦汇苑,94,2,2.0,1997.0,3.0,middle,S,9500,31.188057,121.433515,200000.0,天潼路,南京东路,300.0,1000.0
4132,shxvz000019584,"田林七村,主卧朝南,采光充足,中式风格,得房率高",徐汇,田林,田林七村,田林七村,40,2,0.0,1982.0,2.0,low,E,5200,31.172532,121.422193,200233.0,金桥路,博兴路,800.0,1000.0
4133,shxvz000019593,"鑫城苑,主卧朝南,独立电梯,小区中心位置,两房朝南",徐汇,徐家汇,淮海西路343号,鑫城苑,90,2,2.0,2001.0,3.0,middle,S,13000,31.19645,121.424696,200030.0,娄山关路,中山公园站,900.0,1800.0
4134,shxvz000019651,"创世纪花园,主卧朝南,大平层,繁华地段,采光充足",徐汇,万体馆,零陵路789弄,创世纪花园,124,3,2.0,1999.0,4.0,low,S,13000,31.1835509,121.4387088,200000.0,花木路,世纪公园,1600.0,2800.0
4135,shxvz000019804,"番禺路875弄,繁华地段,采光充足,近商圈,得房率高",徐汇,淮海南,番禺路875弄,番禺路875弄,45,1,1.0,1996.0,3.0,middle,E,5000,31.196912,121.428686,200000.0,东昌路站,商城路,1300.0,1800.0
4136,shxvz000019822,"海珀旭辉,靠近地铁口,配套成熟,位置安静,带家具家电",徐汇,徐汇滨江,东安路800弄,海珀旭辉,149,3,2.0,2010.0,3.0,high,S,35000,31.18335900000001,121.459606,200000.0,蓝村路,世纪大道,1400.0,1600.0
4137,shxvz000019869,"旋宇花园,小区中心位置,采光充足,繁华地段,房型正气",徐汇,万体馆,番禺路1199弄,旋宇花园,136,3,2.0,2006.0,3.0,low,NS,13800,31.191165500000004,121.42548329999998,200000.0,东昌路站,商城路,1700.0,2000.0
4138,shxvz000018552,"佳安公寓,两房朝南,得房率高,南北通透,房型正气",徐汇,万体馆,宛平南路420弄,佳安公寓,103,3,2.0,1998.0,2.0,low,S,9500,31.18915800000001,121.44701299999998,200000.0,黄陂南路,新天地,400.0,400.0
4139,shxvz000018650,"嘉御庭(建国西路268弄),南北通透,位置安静,房型正气,田园风格",徐汇,淮海南,建国西路268弄,嘉御庭(建国西路268弄),144,2,2.0,2017.0,3.0,high,NS,41000,31.2056848,121.4599853,,洲海路,五洲大道,3200.0,4600.0
4140,shxvz000018759,"东方巴黎,南北通透,大平层,靠近地铁口,房型正气",徐汇,淮海南,南昌路555号,东方巴黎,87,2,2.0,2000.0,1.0,high,W,16000,31.21449,121.457939,,黄陂南路,新天地,400.0,400.0
4141,shxvz000019022,"平江大楼,两房朝南,繁华地段,得房率高,中式风格",徐汇,大木桥,平江路25号,平江大楼,78,2,1.0,1989.0,2.0,middle,S,7200,31.200647,121.456694,,世纪公园,蓝村路,1200.0,1700.0
4142,shxvz000019044,"乌中小区,主卧朝南,小区中心位置,房型正气,中式风格",徐汇,淮海南,乌鲁木齐中路261弄,乌中小区,58,1,1.0,1991.0,1.0,low,E,8500,31.212082,121.447236,,锦绣路,芳华路,2000.0,2500.0
4143,shxvz000019110,"寿祥坊,主卧朝南,小区中心位置,采光充足,中式风格",徐汇,康健,桂林西街111弄,寿祥坊,56,2,1.0,1995.0,2.0,high,S,4500,31.151407,121.419271,200233.0,金海路,唐镇,2500.0,9600.0
4144,shxvz000019130,"宛南五村,两房朝南,小区中心位置,采光充足,房型正气",徐汇,龙华,宛南五村,宛南五村,53,2,0.0,1980.0,3.0,low,S,5300,31.179857,121.448909,,金桥路,云山路,1000.0,1500.0
4145,shxvz000019153,"嘉乐公寓,一门关,不靠近马路,中式风格,两房朝南",徐汇,大木桥,肇嘉浜路383号,嘉乐公寓,64,1,2.0,1984.0,3.0,high,S,8800,31.202012,121.459315,200032.0,花木路,世纪公园,400.0,1600.0
4146,shxvz000019173,"宛南六村,主卧朝南,独立电梯,小区中心位置,采光充足",徐汇,徐汇滨江,宛南六村(天钥桥路905弄),宛南六村,46,2,1.0,1984.0,3.0,high,S,5500,31.179573,121.445665,,大连路,临平路,300.0,1300.0
4147,shxvz000019185,"锦汇苑,两房朝南,位置安静,卫生间全明,小区景观位置",徐汇,万体馆,文定路81弄,锦汇苑,95,2,1.0,1997.0,3.0,middle,E,9000,31.188057,121.433515,200000.0,花木路,世纪公园,300.0,1500.0
4148,shxvz000019194,"丝庐花语,大两房,靠近地铁口,得房率高,全南户型",徐汇,大木桥,零陵路29弄,丝庐花语,96,2,2.0,2006.0,3.0,high,S,13000,31.194861,121.466781,200032.0,民生路,杨高中路,900.0,3300.0
4149,shxvz000019219,"东方曼哈顿,卫生间全明,近商圈,采光充足,得房率高",徐汇,徐家汇,虹桥路168号,东方曼哈顿,74,1,2.0,2005.0,3.0,high,S,11000,31.191475,121.433156,200030.0,水城路,娄山关路,400.0,2000.0
4150,shxvz000019258,"太原邸,客厅带阳台,独立电梯,靠近花园,拎包入住",徐汇,淮海北,太原路289弄,太原邸,204,3,2.0,2007.0,4.0,middle,S,28000,31.203307,121.455845,,龙阳路,芳华路,1000.0,1500.0
4151,shxvz000019337,"上海新村,主卧朝南,带采光天井,底楼房,带地暖",徐汇,淮海南,淮海中路1487弄,上海新村,40,1,1.0,1939.0,3.0,low,S,9800,31.209062,121.446457,,小南门,南浦大桥,500.0,2100.0
4152,shxvz000019369,"宏润花园(田东路258弄),主卧朝南,靠近地铁口,价格可谈,中式风格",徐汇,龙华,田东路258弄,宏润花园(田东路258弄),134,3,2.0,2004.0,3.0,high,NS,13500,31.1740932,121.4392452,200235.0,水城路,北新泾,1000.0,1700.0
4153,shxvz000019381,"汇峰鼎园(肇嘉浜路9弄),两房朝南,大平层,位置安静,带中央空调",徐汇,大木桥,肇嘉浜路9弄,汇峰鼎园(肇嘉浜路9弄),153,3,2.0,2006.0,3.0,low,S,19000,31.20404619999999,121.466629,,金桥路,云山路,500.0,1800.0
4154,shxvz000019401,"汇翠花园,繁华地段,房型正气,简约风格,位置安静",徐汇,万体馆,漕溪北路737弄,汇翠花园,87,1,2.0,2003.0,2.0,middle,S,10500,31.1812882,121.4363278,,江湾镇,大柏树,900.0,3300.0
4155,shjaz000008011,"中邦艾格美(石门一路116号),景观房,拎包入住,欧式风格,两房朝南",静安,昌平,石门一路116号,中邦艾格美(石门一路116号),124,2,1.0,2006.0,3.0,low,S,24000,31.2269485,121.463065,,世纪公园,上海科技馆,800.0,1000.0
4156,shjaz000008178,"沪中新苑(武定路1145弄),主卧朝南,新式里弄,繁华地段,房型正气",静安,静安寺,武定路1145弄,沪中新苑(武定路1145弄),135,3,2.0,2002.0,2.0,low,S,15000,31.227048,121.438631,200085.0,娄山关路,北新泾,1400.0,2200.0
4157,shhpz000005593,"同兴大楼,主卧朝南,靠近地铁口,视野好,简约风格",黄浦,南京东路,福州路614弄,同兴大楼,54,1,1.0,1992.0,3.0,middle,S,7300,31.23294000000001,121.478802,200085.0,云山路,德平路,1300.0,2200.0
4158,shcnz000009637,"御翠豪庭,小户型,近商圈,房型正气,全南户型",长宁,古北,黄金城道688弄,御翠豪庭,119,2,2.0,2008.0,3.0,high,S,22500,31.196267,121.399872,200336.0,水城路,龙溪路,1300.0,1400.0
4159,shcnz000009714,"古北国际广场,小户型,一梯三户,位置安静,全南户型",长宁,古北,富贵东道229弄,古北国际广场,93,2,2.0,2006.0,3.0,high,S,18000,31.195171,121.4056818,200336.0,临平路,四平路,600.0,1400.0
4160,shpdz000067837,"世茂滨江花园(2号楼),大两房,大平层,小区中心位置,采光充足",浦东,陆家嘴,潍坊西路1弄,世茂滨江花园(2号楼),157,2,2.0,2002.0,4.0,middle,NW,22000,31.222972,121.513586,200085.0,世纪大道,商城路,600.0,1100.0
4161,shpdz000067933,"万源杰座,三房朝南,大平层,小区中心位置,房型正气",浦东,杨东,东绣路999弄,万源杰座,178,4,2.0,2004.0,3.0,low,NS,13000,31.201165000000003,121.536838,200085.0,民生路,杨高中路,900.0,3300.0
4162,shxvz000019624,"建国西路211弄,主卧朝南,带采光天井,小区中心位置,采光充足",徐汇,淮海南,建国西路211弄,建国西路211弄,42,1,1.0,1988.0,3.0,low,S,7000,31.206313,121.461794,,伊犁路,宋园路,700.0,900.0
4163,shxvz000018807,"名仕苑,繁华地段,配套成熟,中式风格,靠近地铁口",徐汇,徐家汇,广元西路,名仕苑,74,1,1.0,1999.0,3.0,high,S,13000,31.1965194,121.4342738,200030.0,水城路,娄山关路,400.0,2000.0
4164,shxvz000019096,"澳龙公寓,主卧朝南,繁华地段,房型正气,景观房",徐汇,徐汇滨江,龙漕路51弄,澳龙公寓,103,2,2.0,2003.0,3.0,middle,S,3000,31.168711,121.43703700000002,200235.0,鲁班路,打浦桥,600.0,1000.0
4165,shcnz000009909,"新泾三村,大开间,一梯三户,小区中心位置,黄金楼层",长宁,北新泾,新泾三村,新泾三村,40,1,1.0,1986.0,2.0,high,S,5000,31.21671599999999,121.369768,,龙阳路,芳华路,1000.0,1500.0
4166,shjsz000002403,"万达华府(西区),主卧朝南,一梯两户,繁华地段,配套成熟",金山,金山,海汇街625弄,万达华府(西区),87,2,2.0,2015.0,3.0,high,S,3000,30.746069800000004,121.3402687,200540.0,小南门,南浦大桥,500.0,2100.0
4167,shsjz000009183,"新凯家园(泗凯路291弄),主卧朝南,一梯三户,小区中心位置,房型正气",松江,泗泾,泗凯路291弄,新凯家园(泗凯路291弄),68,2,1.0,2013.0,1.0,high,S,3000,31.111974,121.234721,,水城路,北新泾,1000.0,1700.0
4169,shhpz000005485,"金外滩花园(黄浦),主卧朝南,独立电梯,小区中心位置,采光充足",黄浦,外滩,中山南路200弄,金外滩花园(黄浦),136,2,2.0,2006.0,3.0,low,NS,17000,31.22321,121.502185,200085.0,广兰路,金科路,1600.0,4000.0
4170,shhkz000019153,"广中路30弄,主卧朝南,位置安静,采光充足,小户型",虹口,四川北路,广中路30弄,广中路30弄,37,1,1.0,1990.0,2.0,high,S,3000,31.276146,121.479242,,江湾镇,大柏树,900.0,3300.0
4171,shpdz000069259,"锦绣苑,主卧朝南,小区中心位置,采光充足,中式风格",浦东,杨东,浦建路1288弄,锦绣苑,175,3,1.0,1999.0,3.0,high,NS,3200,31.205265,121.542406,201203.0,伊犁路,水城路,1600.0,1900.0
4172,shlwz000005778,"茂名坊(茂名南路169弄),主卧朝南,法式小高层,繁华地段,采光充足",黄浦,陕西路,茂名南路169弄,茂名坊(茂名南路169弄),45,1,0.0,1999.0,4.0,middle,S,8000,31.2145549,121.4622635,,金桥路,云山路,1100.0,1200.0
4173,shhkz000019677,"虹临宝都,大开间,一梯三户,繁华地段,黄金楼层",虹口,临平,临平北路68号,虹临宝都,181,2,1.0,1997.0,3.0,low,S,3200,31.263477,121.491673,200085.0,世纪公园,上海科技馆,800.0,1000.0
4174,shpdz000065525,"璞真园,主卧朝南,独立电梯,小区中心位置,采光充足",浦东,金桥,利津路555弄,璞真园,125,3,2.0,2003.0,3.0,middle,S,2500,31.274366,121.587571,200129.0,虹桥路,延安西路,1000.0,2100.0
4175,shhkz000019773,"溧阳华府,客厅朝南,位置安静,采光充足,南北通透",虹口,四平路,四平路283号,溧阳华府,113,2,2.0,2007.0,1.0,high,S,8000,31.26298599999999,121.488545,200085.0,娄山关路,北新泾,1400.0,2200.0
4176,shypz000026219,"浣纱三村(浣沙三村),主卧朝南,靠近地铁口,采光充足,中式风格",杨浦,黄兴,浣纱三村(浣沙三村),浣纱三村(浣沙三村),43,2,0.0,1997.0,1.0,middle,S,3200,31.30110800000001,121.535814,200433.0,云山路,德平路,1300.0,2200.0
4177,shypz000026663,"中通大厦,一门关,繁华地段,简约风格,靠近地铁口",杨浦,控江,黄兴路1号,中通大厦,160,3,2.0,1997.0,1.0,low,S,8000,31.269435,121.53285,200000.0,水城路,龙溪路,1300.0,1400.0
4179,shxvz000019547,"日晖二村,主卧朝南,一梯三户,小区中心位置,房型正气",徐汇,大木桥,日晖二村,日晖二村,50,1,1.0,1974.0,3.0,high,S,4500,31.193615,121.465171,200032.0,临平路,提篮桥,700.0,1600.0
4180,shxvz000019033,"汇京佳丽苑(石龙路999弄),带飘窗,一梯三户,位置安静,拎包入住",徐汇,南站,石龙路999弄,汇京佳丽苑(石龙路999弄),146,3,2.0,2004.0,3.0,low,S,2900,31.147365,121.429438,,昌平路,武宁路,1100.0,3400.0
4181,shptz000018675,"天汇广场,主卧朝南,独立电梯,小区中心位置,中式风格",普陀,真如,兰溪路900弄,天汇广场,44,1,1.0,2013.0,3.0,middle,SW,4500,31.2553451,121.4009682,200333.0,芳华路,龙阳路,900.0,1700.0
4182,shptz000018710,"和丰苑,主卧朝南,新式里弄,繁华地段,得房率高",普陀,甘泉宜川,交通路1517弄,和丰苑,45,1,1.0,2017.0,3.0,high,S,5000,31.1823674,121.5318486,200125.0,芳华路,龙阳路,1300.0,2000.0
4183,shjaz000008332,"泰兴大楼,全南户型,一梯两户,靠近地铁口,采光充足",静安,昌平,南京西路934号,泰兴大楼,36,1,1.0,1970.0,1.0,low,S,7000,31.23021499999999,121.458952,,龙阳路,芳华路,1000.0,1500.0
4184,shjaz000008344,"太阳公寓(威海路673号),主卧朝南,小区入口附近,中式风格,大开间",静安,南京西路,威海路673号,太阳公寓(威海路673号),66,2,1.0,1926.0,3.0,high,NS,9500,31.226336,121.458796,200085.0,赤峰路,曲阳路,400.0,800.0
4185,shptz000018805,"双泉公寓,主卧朝南,独立电梯,小区中心位置,中式风格",普陀,甘泉宜川,延长西路781弄,双泉公寓,62,1,1.0,1998.0,3.0,low,S,5500,31.259684000000004,121.426131,,小南门,豫园,900.0,1200.0
4186,shptz000018821,"南泉苑(西乡路91弄),主卧朝南,靠近地铁口,拎包入住,南北通透",普陀,甘泉宜川,西乡路91弄,南泉苑(西乡路91弄),46,1,1.0,1995.0,3.0,middle,S,3800,31.267811,121.426042,200072.0,大世界,黄陂南路,700.0,1000.0
4187,shmhz000028773,"万科城市花园(1期),主卧朝南,小区中心位置,中式风格,位置安静",闵行,七宝,七莘路3333号,万科城市花园(1期),51,1,1.0,1994.0,3.0,middle,S,4500,31.160448,121.34381100000002,201101.0,水城路,北新泾,1000.0,2100.0
4188,shmhz000029488,"莲花公寓(莲花路325弄),主卧朝南,一梯两户,小区入口附近,采光充足",闵行,古美,莲花路325弄,莲花公寓(莲花路325弄),90,3,1.0,2000.0,3.0,middle,NS,7000,31.1409835,121.4008356,,伊犁路,水城路,1400.0,2100.0
4189,shptz000018208,"华经大厦,新式里弄,繁华地段,采光充足,靠近地铁口",普陀,甘泉宜川,骊山路34弄,华经大厦,79,2,1.0,1996.0,2.0,middle,E,5500,31.2583006,121.4449969,,水城路,伊犁路,1600.0,1800.0
4190,shqpz000002935,"城东新村,主卧朝南,一梯两户,非顶楼房,采光充足",青浦,青浦城区,城东新村,城东新村,52,2,1.0,1990.0,1.0,high,S,2200,31.14705099999999,121.122052,201700.0,锦绣路,芳华路,400.0,3100.0
4191,shcnz000010017,"利星国际广场,近商圈,拎包入住,中式风格,位置安静",长宁,中山公园,延安西路1329弄,利星国际广场,116,2,2.0,2006.0,3.0,middle,SW,12000,31.211812,121.425257,200085.0,小南门,南浦大桥,500.0,2100.0
4192,shpdz000069344,"牡丹小区(牡丹路259弄),主卧朝南,小区中心位置,采光充足,大开间",浦东,花木,牡丹路259弄,牡丹小区(牡丹路259弄),43,1,1.0,1994.0,3.0,middle,S,7000,31.207944,121.548974,201203.0,五莲路站,杨高北路,1100.0,1400.0
4193,shpdz000069545,"城市经典.高迪,小区中心位置,带中央空调,靠近地铁口,带地暖",浦东,张江,青桐路618弄,城市经典.高迪,131,3,2.0,2006.0,4.0,low,NS,12000,31.212935,121.619764,201203.0,虹桥路,延安西路,1600.0,2600.0
4194,shhpz000006446,"外滩滨江名人苑,南北通透,繁华地段,采光充足,现代风格",黄浦,外滩,中华路88弄,外滩滨江名人苑,115,2,2.0,2004.0,4.0,high,NS,13000,31.223417,121.498488,200085.0,芳华路,龙阳路,0.0,1100.0
4195,shcnz000010110,"东方金门花园(新华盟),客厅带阳台,一梯两户,繁华地段,黄金楼层",长宁,新华路,定西路768弄,东方金门花园(新华盟),97,2,2.0,2003.0,3.0,middle,S,12000,31.208327,121.424246,200085.0,徐泾东,徐泾东,4500.0,4600.0
4196,shpdz000070682,"沪东新村,主卧朝南,小区中心位置,价格可谈,小户型",浦东,金桥,沪东新村,沪东新村,36,1,0.0,1983.0,1.0,high,S,2700,31.26230300000001,121.584488,201203.0,中山公园站,延安西路,400.0,2600.0
4197,shcnz000009427,"天山星城,主卧朝南,不靠近马路,房型正气,现代风格",长宁,仙霞,威宁路358弄,天山星城,76,2,1.0,2006.0,3.0,high,NS,12000,31.21351,121.385144,200336.0,曲阜路,新闸路,1200.0,1900.0
4198,shpdz000064582,"云间绿大地,叠加别墅,得房率高,欧式风格,拎包入住",浦东,碧云,锦绣东路418弄(旧址云间路418弄),云间绿大地,164,3,2.0,2005.0,3.0,high,S,25000,31.22948,121.578732,,杨高南路,高科西路,300.0,2200.0
4199,shpdz000065420,"花木苑,大两房,采光充足,中式风格,全南户型",浦东,世纪公园,花木路500弄,花木苑,94,3,2.0,2000.0,3.0,low,NS,2900,31.211329,121.543946,,曲阜路,新闸路,1200.0,1900.0
4200,shhkz000019756,"水电路541弄,主卧朝南,小区中心位置,房型正气,中式风格",虹口,广中,水电路541弄,水电路541弄,36,1,0.0,1955.0,1.0,middle,S,2800,31.279849,121.47685,200085.0,杨高南路,高科西路,300.0,2200.0
4202,shhkz000019826,"河滨大楼,小户型,独立电梯,近商圈,采光充足",虹口,北外滩,北苏州路400号,河滨大楼,42,1,1.0,1936.0,4.0,high,NS,8000,31.243257,121.483502,200085.0,国际客运中心,临平路,700.0,1500.0
4203,shlwz000005429,"茂名南路22弄,主卧朝南,位置安静,现代风格,南北通透",黄浦,陕西路,茂名南路22弄,茂名南路22弄,60,1,1.0,1992.0,4.0,middle,S,10000,31.2224502,121.4602148,200085.0,延长路,上海马戏城,1200.0,4000.0
4204,shhkz000019897,"虹祺花苑,两房朝南,大平层,繁华地段,价格可谈",虹口,四川北路,宝山路888弄|宝山路874,虹祺花苑,168,4,2.0,1999.0,1.0,low,S,10000,31.264405,121.47832,,塘桥,蓝村路,100.0,1000.0
4205,shpdz000066670,"莲溪五村(莲中路255弄),主卧朝南,小区中心位置,房型正气,中式风格",浦东,北蔡,莲中路255弄,莲溪五村(莲中路255弄),64,2,1.0,1994.0,3.0,middle,S,4600,31.181357,121.559188,,世纪公园,上海科技馆,800.0,1000.0
4206,shlwz000005522,"丽园路694弄,小户型,大平层,小区入口附近,拎包入住",黄浦,打浦桥,丽园路694弄,丽园路694弄,56,2,0.0,1990.0,3.0,middle,S,7000,31.207021,121.479619,,航津路,洲海路,1800.0,1800.0
